"id","poscode","state_id:id"
"gst_pos01","01","base.state_in_jk"
"gst_pos02","02","base.state_in_hp"
"gst_pos03","03","base.state_in_pb"
"gst_pos04","04","base.state_in_ch"
"gst_pos05","05","base.state_in_uk"
"gst_pos06","06","base.state_in_hr"
"gst_pos07","07","base.state_in_dl"
"gst_pos08","08","base.state_in_rj"
"gst_pos09","09","base.state_in_up"
"gst_pos10","10","base.state_in_br"
"gst_pos11","11","base.state_in_sk"
"gst_pos12","12","base.state_in_ar"
"gst_pos13","13","base.state_in_nl"
"gst_pos14","14","base.state_in_mn"
"gst_pos15","15","base.state_in_mz"
"gst_pos16","16","base.state_in_tr"
"gst_pos17","17","base.state_in_ml"
"gst_pos18","18","base.state_in_as"
"gst_pos19","19","base.state_in_wb"
"gst_pos20","20","base.state_in_jh"
"gst_pos21","21","base.state_in_or"
"gst_pos22","22","base.state_in_cg"
"gst_pos23","23","base.state_in_mp"
"gst_pos24","24","base.state_in_gj"
"gst_pos25","25","base.state_in_dd"
"gst_pos26","26","base.state_in_dn"
"gst_pos27","27","base.state_in_mh"
"gst_pos29","29","base.state_in_ka"
"gst_pos30","30","base.state_in_ga"
"gst_pos31","31","base.state_in_ld"
"gst_pos32","32","base.state_in_kl"
"gst_pos33","33","base.state_in_tn"
"gst_pos34","34","base.state_in_py"
"gst_pos35","35","base.state_in_an"
"gst_pos36","36","base.state_in_ts"
"gst_pos37","37","base.state_in_ap"
