"id","hsncode","name","gst_tax_ids:id","gst_supplier_tax_ids:id","igst_tax_ids:id","igst_supplier_tax_ids:id",
"04010000","04010000","Ultra high temperature (UTH) milk","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04020000","04020000","Milk and cream, concentrated or containing added sugar or other sweetening matter including skimmed milk powder, milk food for babies, excluding condensed milk","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04021000","04021000","In powder, granules or other solid forms, of a fat content,by weight, not exceeding 15 percent in powder, granules or other solid forms, of a fat content, by weight, exceeding 15percent","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04021010","04021010","Skimmed milk powder and UHT milk","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04021020","04021020","Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5% - Milk food for babies","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04021090","04021090","Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5% - Other","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04022100","04022100","Milk and cream in powder, granules or other solid forms, of a fat content by weight exceeding 1.5% -  Not containing added sugar or other sweetening matter","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04022900","04022900","Milk, cream (sweetened, fat content exceeding 1.5%)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04022910","04022910","Whole Milk (sweetened, fat content exceeding 1.5%)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04022920","04022920","Milk powder for babies (sweetened, fat content exceeding 1.5%)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04029100  ","04029100  ","Not containing added sugar or other sweetening matter","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04029900","04029900","Milk, cream (concentrated or sweetened)(Other whole milk)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04030000","04030000","Cream, yogurt, kephir and other fermented or acidified milk and cream, wheter or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04031000","04031000","Yogurt","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04040000","04040000","Whey , whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter not elsewhere specified or included.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04041000","04041000","Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: modified whey: whey protein concentrates.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04049000","04049000","Other products consisting of natural milk constituents","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04060000","04060000","Chena or paneer put up in unit container and bearing a registered brand name","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04080000","04080000","Birds eggs, not in shell, and egg yolks, fresh, dried, cooked by styeaming or by boiling in water, moulded, frozen or otherwise preserved whether or not containing added sugar or other sweetening matter.","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04081100","04081100","Egg yolks (dried)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04081900","04081900","Egg yolks (fresh, frozen, other preserved; not dried)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04089900","04089900","Birds' eggs (not in shell; frozen, preserved or cooked)","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04090000","04090000","Natural Honey, put up in unit containiner and bearing a registered brand name","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04092000","04092000","Packaged for retail sale","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04100000","04100000","Edible products of animal origin, not elsewhere specified or included","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04100010","04100010","Edible products of wild animal","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04100020","04100020","Edible products of Turtle eggs and Salanganes nests","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
"04100090","04100090","Edible products of animal origin, nesoi: Other","5","GSTO5","GSTI5","IGSTO5","IGSTI5"
